metric,MAE_YOLO_scaled,RMSE_YOLO_scaled,Corr_YOLO_scaled,MAE_Mediapipe_scaled,RMSE_Mediapipe_scaled,Corr_Mediapipe_scaled,n_frames_YOLO,n_frames_Mediapipe
left_shoulder_to_right_shoulder_cm,3.552713678800501e-16,1.1234667099445444e-15,1.0,0.0,0.0,1.0,10,10
left_hip_to_right_hip_cm,4.788821213684872,5.1347415367668425,0.6384439698899967,7.1495210800316915,7.560954218296819,0.3899100221106617,10,10
left_shoulder_to_left_elbow_cm,5.274638413283323,6.23340092959079,0.7771078338195626,4.334494594768339,4.998900809989674,0.2721295343829475,10,10
right_shoulder_to_right_elbow_cm,5.015867681960222,5.9954398721404605,0.9157810675990585,4.3861685981578855,5.424681894084205,0.6306693138418655,10,10
left_elbow_to_left_wrist_cm,6.202247089794314,6.998123625109912,0.7943270723421995,4.020209436344114,4.7948152299349855,-0.036641485662557066,10,10
right_elbow_to_right_wrist_cm,4.245345250545261,4.692186197474199,0.8070304709631799,6.070780199215596,8.302728104849715,-0.320719647546701,10,10
left_shoulder_to_left_hip_cm,11.358687871153284,11.891055049749697,0.11611619330853361,7.150444981232313,8.240787288145569,-0.2790525203777967,10,10
right_shoulder_to_right_hip_cm,11.610927304330492,11.910377100856516,0.4174138572624232,6.437718734302296,7.611310540293613,-0.18726949638463966,10,10
left_wrist_movement_cm,14.520438168145319,18.569442687588054,0.9841824348147843,8.03566205964122,10.640998701950078,0.9685647042993046,10,10
right_wrist_movement_cm,11.238093345182993,15.368759227422082,0.9809310576814931,13.235147854278011,20.28509372146495,0.883876119651789,10,10
left_elbow_movement_cm,5.404904635879843,7.730995896050102,0.9824838656759666,4.633137687263243,6.0371188725586435,0.9668305433777881,10,10
right_elbow_movement_cm,6.522680660371819,8.27536697879765,0.982121391059254,6.089556617643673,8.851784490648086,0.918378288073629,10,10
left_shoulder_movement_cm,1.2755650974835422,1.6586297755441595,0.9539303799137145,3.2257114924462194,4.164664801875835,0.8170572534977567,10,10
right_shoulder_movement_cm,2.320833305715123,2.9287374048690977,0.849756115276455,3.64633485042389,4.43212085129996,0.8461919571774692,10,10
left_knee_movement_cm,1.6770960507798933,2.0801198741816305,0.4327218719201696,0.5600857712991872,0.8183701992103305,0.728692358077679,10,10
right_knee_movement_cm,2.006683472165148,2.3725992460064904,0.5212071805566403,0.6184755394236003,0.8320021748530745,0.6182255552071833,10,10
shoulder_width,3.552713678800501e-16,1.1234667099445444e-15,1.0,0.0,0.0,1.0,10,10
