frame,left_shoulder_to_right_shoulder_cm,left_hip_to_right_hip_cm,left_shoulder_to_left_elbow_cm,right_shoulder_to_right_elbow_cm,left_elbow_to_left_wrist_cm,right_elbow_to_right_wrist_cm,left_shoulder_to_left_hip_cm,right_shoulder_to_right_hip_cm,left_wrist_movement_cm,right_wrist_movement_cm,left_elbow_movement_cm,right_elbow_movement_cm,left_shoulder_movement_cm,right_shoulder_movement_cm,left_knee_movement_cm,right_knee_movement_cm,shoulder_width
0,34.795572806270954,29.333333333333336,26.598856584402895,25.8218526375581,23.13453321809055,22.564102564102566,49.69228123097388,47.940089721425814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.795572806270954
10,27.542997286783745,26.178249047795685,23.990214967798508,23.418886268491544,31.086094948470123,31.402227335920056,50.61606525404209,49.20837097316884,110.32069491485144,110.79962356071695,57.87681311530516,56.9492201457902,9.720912882622285,14.692679102120762,2.707692307692308,2.256410256410257,27.542997286783745
20,34.2974358974359,26.209348849730898,24.62280230116778,24.058031965190608,24.963689607439207,28.669732417141255,46.34822657350415,47.46191497170195,51.17824981804156,57.341240682180306,23.613740303009223,23.34921296788379,4.711522937354506,6.508482302376022,1.6271205755940055,1.009097343692213,34.2974358974359
30,35.66270508331222,26.189915801274424,20.997955506125173,25.081702653947538,26.286937381959827,21.703804918239435,48.698749253237686,48.39040009989322,25.504423821192653,26.174358974358977,14.018828327146647,14.448075202412584,0.45128205128205134,1.2764183947572554,2.256410256410257,0.6382091973786277,35.66270508331222
40,36.12793979993925,27.07692307692308,28.46298541020493,26.869289372331682,24.406808633910085,24.42349134852643,50.93693100463495,49.26421086405279,73.50912263869779,62.11319987690267,33.42230335575643,33.33994096244557,2.3010959856213593,2.707692307692308,1.6271205755940055,1.009097343692213,36.12793979993925
50,31.589743589743595,24.824615045616536,25.312055841834958,23.990214967798508,29.565002321354044,29.86996318803726,48.94694252062154,49.24146892274798,113.78036814934232,111.76225729858898,60.4869479675138,58.22238081594051,7.564865672067378,8.866285528134298,1.009097343692213,0.6382091973786277,31.589743589743595
60,37.10405787930899,23.92220571695332,23.985970038991006,25.75867981475015,25.065458026172223,21.666238806274603,49.338565744161976,46.796447321562674,71.85595057569064,72.24037601206291,33.921284135815796,34.395272063212886,4.160614934573201,5.866666666666667,0.6382091973786277,1.6271205755940055,37.10405787930899
70,36.55384615384616,28.43435060878064,27.58732617376118,28.211445446394364,23.033075151905365,24.4276602469691,47.746408796114785,47.88908508985041,77.98174738813418,67.88458163239761,39.80502117467888,38.358974358974365,4.086532780287656,1.6271205755940055,0.9025641025641027,0.0,36.55384615384616
80,27.080683499561435,22.58214663141167,24.832817462838754,23.69123318686746,31.97740161946677,31.59296686852243,50.64221147589201,49.20837097316884,114.20646148462409,114.34903026789698,59.584613398478595,58.67360905668762,9.90767107286571,9.292466178531859,0.9025641025641027,0.0,27.080683499561435
90,37.00512820512821,28.46298541020493,26.660038624026463,26.178249047795685,21.57203732182783,22.131232523098507,52.2279774690371,53.320077248052925,111.48128213119335,111.06032027822734,59.12483811882492,57.376746097769576,10.764756091129618,9.487661803401643,0.6382091973786277,0.9025641025641027,37.00512820512821
