frame,left_shoulder_to_right_shoulder_cm,left_hip_to_right_hip_cm,left_shoulder_to_left_elbow_cm,right_shoulder_to_right_elbow_cm,left_elbow_to_left_wrist_cm,right_elbow_to_right_wrist_cm,left_shoulder_to_left_hip_cm,right_shoulder_to_right_hip_cm,left_wrist_movement_cm,right_wrist_movement_cm,left_elbow_movement_cm,right_elbow_movement_cm,left_shoulder_movement_cm,right_shoulder_movement_cm,left_knee_movement_cm,right_knee_movement_cm,shoulder_width
0,33.51635343031256,27.587578545739767,30.807309717520777,30.905969131405488,22.083852317997533,22.357856002832712,52.7666079474464,54.87640241579885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.51635343031256
10,34.90281180222288,28.616711048942722,21.125673502782828,24.84475506789472,12.337540192577782,12.610873301799037,51.9467584340501,52.69733009532216,21.58188100909244,20.088607158954687,12.188590585108225,12.113428980901618,2.122630674635316,0.6979166666666666,3.489583333333333,4.9963229752058105,34.90281180222288
20,31.437253215841622,27.569916841915553,24.84475506789472,24.06547826085347,29.295878223783934,28.95302896563194,54.509034196431855,55.494250300425264,94.83773334041452,95.4922422905317,53.758840570208775,55.106697425344514,9.826755888562754,10.143829210428734,2.657587490067093,3.5069878469536437,31.437253215841622
30,32.45500106584542,30.012445425612142,16.052083333333332,21.64667046023219,26.530014858044378,27.30362035448423,52.13629026490862,51.31586241563196,42.68860221297447,41.20073473294769,31.755208333333332,33.86514325257404,4.935016077031113,6.639385096664114,3.5069878469536437,3.6432319588385775,32.45500106584542
40,34.197916666666664,32.46062861281704,25.761540235303066,25.32052824075013,14.320052743976811,18.09879721151304,54.7909034820898,54.098671766433974,58.52729333114713,60.86397563198531,27.516863713520696,25.66445609477483,4.681767327890185,5.428517684734223,3.4368410037517654,2.3408836639450925,34.197916666666664
50,40.13020833333333,28.667728847963296,21.352144213169787,23.244397216385824,22.84278158097001,25.37577396876574,54.63065026277539,52.48430780899407,59.87864699082127,57.39277300144278,34.79973747768257,33.178579571179824,6.7755452354660894,5.963002613919526,3.454511253921779,1.2581871638337878,40.13020833333333
60,35.969801681820734,29.331188239067725,29.694283307642124,29.331188239067725,22.682291666666664,24.785869529673832,46.19449207524938,46.51759871293187,88.25955823719998,87.78504476390832,48.00175246818975,44.3671394275189,8.917234028386487,6.290935819168939,1.7447916666666665,2.442708333333333,35.969801681820734
70,34.57506215410277,33.25373348987486,29.295878223783934,29.776187430405272,16.460331662702927,20.662341249726246,35.59375,52.95205560827984,8.93769424808335,6.2423564371869125,0.4935016077031113,8.146514317762774,5.417290128382404,4.084452573011536,43.820330684436904,5.7551682690913175,34.57506215410277
80,35.969801681820734,32.077604500702236,31.04160418408141,31.877682774492573,20.326635706398267,19.967004303367453,46.41277018822663,52.53996210764306,6.621018850977544,2.8133920267500145,1.779345351097482,3.217236867909497,1.4387920672728294,0.3489583333333333,34.14981204257796,4.860427159225708,35.969801681820734
90,36.00363969653026,31.106264057717894,31.80310604726325,33.29947580632005,20.662341249726246,19.27185385811319,50.32748655335151,50.64225877151317,3.0018530879784167,3.217236867909497,4.536458333333333,6.7755452354660894,7.0139756939072875,6.979166666666666,7.4189559318043905,11.910679449100966,36.00363969653026
100,35.957950853749914,36.88573768157872,31.986366758669835,30.646807446137434,19.890625,22.180138645807023,49.59629776239463,35.94270833333333,0.7802945546483641,3.9787371605021997,2.4675080385155566,1.5605891092967281,0.4935016077031113,1.4387920672728294,6.367892023905949,37.95954570934786,35.957950853749914
110,36.45904910011673,30.028670562856583,32.86883721809222,34.28504525798404,20.242591371297973,20.983976194812183,52.78622014212005,57.315277568478514,6.290935819168939,1.7447916666666665,5.8496075997609065,3.217236867909497,3.9014727732418204,4.536458333333333,8.519158606814146,48.43989157402321,36.45904910011673
120,35.26033588740132,30.018530879784166,33.02591517480902,31.475964292218272,20.615139951639776,23.05503033674267,52.385608263386615,54.179644378838084,2.5404550134468473,2.7254517098215927,1.779345351097482,2.09375,3.5069878469536437,3.7094779659021953,0.3489583333333333,2.09375,35.26033588740132
